"-9.11985,-4.80211"
"-7.76499,-4.01775"
"-3.68811,-5.41359"
"-10.064,-0.971854"
"-15.2053,-2.00505"
"-9.33935,-3.65089"
"-13.6536,-5.00867"
"-10.9551,-2.71923"
"-9.40903,-6.37419"
"-6.6026,-5.34871"
"-9.02393,-3.8301"
"-7.24212,-3.81317"
"-6.62514,-2.93595"
"-10.9077,-2.59805"
"-5.97947,-1.26869"
"-7.93162,-4.26305"
"-8.43313,-4.0584"
"-4.34958,-0.132813"
"-3.71662,-5.12598"
"-5.37213,-4.05997"
"-9.14412,-1.99863"
"-6.04861,-2.84564"
"-12.8896,-4.8341"
"-7.39529,-0.969494"
"-10.1729,-4.86168"
"-6.38801,-2.33877"
"-6.25576,0.379165"
"-8.59167,-4.87375"
"-9.50667,-4.0489"
"-8.0285,-3.78087"
"-7.73203,0.187108"
"-18.1263,-5.64401"
"-10.2805,-1.45743"
"-7.25255,-0.28482"
"-10.9661,-3.93316"
"-12.3504,-2.17338"
"-13.4576,-1.94186"
"-9.29562,-3.86229"
"-7.89696,-7.39601"
"-12.3007,-4.97943"
"-9.86085,-3.3043"
"-5.12957,-1.70977"
"-11.009,-3.61579"
"-15.579,-3.13408"
"-5.96402,-2.26383"
"-5.57614,-2.99318"
"-8.45621,-0.92619"
"-9.59015,-2.12731"
"-12.0401,-0.0140243"
"-9.80031,-0.968244"
"-8.52312,-1.57175"
"-8.48506,-1.98764"
"-13.308,-3.24308"
"-6.11759,-1.36899"
"-8.14591,-1.59465"
"-7.45166,-4.17745"
"-9.34372,-2.13648"
"-8.6296,-4.12705"
"-13.1069,-3.78777"
"-7.32578,-4.2873"
"-11.5254,-3.4371"
"-6.36831,-3.24547"
"-7.64204,-2.52296"
"-6.684,-4.37461"
"-7.91626,-2.60014"
"-7.95455,-2.05419"
"-6.02867,-4.31055"
"-12.6168,-2.47954"
"-11.1103,-2.65012"
"-8.1503,-3.6823"
"-9.01145,-4.94613"
"-10.6884,-5.06873"
"-8.54668,-3.13166"
"-10.4342,0.0252948"
"-11.0586,-4.38485"
"-7.89281,-2.91135"
"-8.60017,-4.55392"
"-10.8575,-7.95987"
"-8.37642,-5.07734"
"-10.2249,-1.48762"
"-10.1157,-1.20967"
"-3.75498,-2.7352"
"-5.6308,-0.871133"
"-12.3232,-4.41244"
"-3.60231,-6.04063"
"-10.5322,-2.88408"
"-8.43772,-3.1765"
"-8.58417,-4.43898"
"-8.45611,-5.86555"
"-8.6418,-3.88619"
"-7.50741,-6.96034"
"-5.60204,-1.55651"
"-11.2365,-4.01306"
"-5.80906,-3.62049"
"-9.77131,-2.42093"
"-11.0841,-4.5633"
"-5.91523,-4.08845"
"-7.19326,-3.43084"
"-8.83512,-4.27552"
"-7.51277,-4.00572"
"-11.5278,-1.38158"
"-4.08812,-1.9207"
"-11.1998,-4.81407"
"-11.5955,-2.10132"
"-6.88039,0.524997"
"-8.01471,-1.7666"
"-8.33258,-2.03007"
"-12.3367,-4.29089"
"-8.80169,-6.19152"
"-8.44329,-6.14581"
"-7.99793,0.39074"
"-10.8744,-3.24964"
"-7.67517,-6.31186"
"-1.95998,0.300266"
"-4.81072,-2.75709"
"-9.01444,-4.23508"
"-6.72983,-2.99755"
"-8.12402,-4.88786"
"-10.3953,-5.59164"
"-14.932,-2.34436"
"-6.12517,-4.46724"
"-9.67932,-5.62251"
"-6.0256,-3.00325"
"-6.22215,-2.12544"
"-4.10203,-1.42133"
"-13.2709,-5.87238"
"-8.9334,-1.0789"
"-5.88497,-6.08408"
"-4.02,-1.63769"
"-3.78872,-1.88602"
"-6.79964,-4.92791"
"-8.83188,-2.30002"
"-6.76992,-2.07805"
"-4.59525,-2.70307"
"-6.89822,-2.34646"
"-7.56011,-2.08439"
"-3.34782,-4.36885"
"-5.63572,-2.22484"
"-8.29373,-0.603273"
"-9.11506,-2.77821"
"-3.54137,-1.55131"
"-10.8168,-2.17746"
"-4.2704,-2.78707"
"-5.51992,-2.76956"
"-11.8157,0.405841"
"-10.8005,-4.7629"
"-5.5741,-4.54622"
"-8.03676,-4.42322"
"-12.078,-2.93546"
"-8.3241,-6.61342"
"-10.9331,-3.12323"
"-9.77125,-1.4713"
"-1.62304,-3.65586"
"-10.6128,-3.7678"
"-9.12796,-4.07765"
"-11.4748,-5.27067"
"-8.51827,-3.86621"
"-7.95787,-3.13468"
"-8.1388,-3.86473"
"-8.98593,-4.69625"
"-12.5152,-2.27674"
"-10.1523,-0.243263"
"-6.24632,-4.53953"
"-15.8469,-1.9988"
"-11.55,-2.58901"
"-7.37293,-5.19257"
"-7.52066,-3.06953"
"-13.4852,-5.28684"
