"10.4103,-4.76341"
"9.62822,-3.81813"
"8.68503,6.41935"
"10.0748,-1.44576"
"9.36831,3.6798"
"7.87792,7.21594"
"8.23184,2.13967"
"10.263,4.91603"
"8.97826,-4.32144"
"9.35132,-1.11616"
"8.96805,2.50824"
"7.94536,5.34459"
"7.62668,2.22898"
"7.37585,-4.51768"
"9.26703,1.22242"
"8.07473,-7.12415"
"8.31744,-1.49888"
"8.34616,-2.58406"
"9.09669,3.1211"
"7.7232,5.57732"
"8.74897,-1.12936"
"7.11901,7.57845"
"6.89809,5.37489"
"8.56341,6.92456"
"8.60307,3.19541"
"10.5511,1.27405"
"9.64404,-2.35385"
"9.47948,-1.76531"
"7.47509,0.952512"
"8.11731,-3.22116"
"8.6224,4.14343"
"8.88686,9.18776"
"8.14893,-4.07783"
"10.1322,-2.62358"
"7.98987,-1.25443"
"8.40381,8.57794"
"8.61934,-5.25398"
"7.73555,-2.22022"
"10.4678,-1.88884"
"7.49605,0.8522"
"8.7197,-0.920912"
"9.29131,3.23762"
"10.6532,1.41563"
"9.02786,5.06545"
"10.7244,4.89774"
"8.16412,-2.56972"
"8.95604,2.15769"
"9.59311,2.37471"
"9.23186,3.01944"
"9.34744,0.720923"
"6.84316,6.21142"
"8.06159,4.26831"
"8.42954,5.27907"
"9.10011,1.34166"
"9.64905,-0.574861"
"9.7606,1.18246"
"8.79515,2.31058"
"7.70129,5.63007"
"10.8254,-1.19982"
"9.63971,5.80604"
"9.32184,2.66892"
"8.35728,1.2437"
"7.66152,-1.27344"
"9.71398,1.86291"
"10.9804,-2.6752"
"9.87595,0.152622"
"10.1371,4.75439"
"8.16433,-3.85554"
"7.72469,-0.399266"
"8.15553,5.57418"
"9.16522,-1.50441"
"9.24433,2.86118"
"8.84565,5.05035"
"10.6318,0.201459"
"9.94193,1.90363"
"10.1908,-0.84982"
"10.5231,2.30793"
"7.6668,-2.13612"
"8.05621,0.504723"
"11.4506,5.70559"
"9.65739,-0.546346"
"9.09405,1.18797"
"10.276,2.96495"
"8.07709,7.10306"
"8.78656,-0.479446"
"8.70281,-1.03757"
"9.04305,2.61004"
"9.2336,7.00229"
"11.2774,-5.34643"
"7.92736,7.44821"
"8.52001,-3.83802"
"8.48351,4.71401"
"7.45137,0.558347"
"8.65937,-3.99542"
"9.04832,4.89073"
"8.85215,3.13575"
"8.63795,1.40609"
"9.13953,0.835666"
"10.1317,4.82606"
"9.35558,-4.62403"
"8.66321,5.17696"
"9.23653,2.33391"
"8.47924,4.86745"
"8.85227,8.98506"
"10.6649,-2.71022"
"8.624,-3.58283"
"9.6396,3.93305"
"7.36298,6.08486"
